indicator_id;type;domaine;libelle;unite;granularite;agregation_martinique;acquisition;source_cible;code_officiel
AC_009;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Part de stations conformes / non conformes (conformité globale ERU);%;STEU / EPCI / Martinique;NON_ADDITIF;AUTO + calcul;Portail national assainissement;P203.3 + P204.3 + P205.3 historiquement liés
AC_010;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Évolution du taux de stations conformes;%;Martinique;NON_ADDITIF;AUTO + calcul;Portail national assainissement;
AC_011;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Part des effluents traités par une station conforme;%;STEU / Martinique;NON_ADDITIF;SEMI-AUTO + calcul;Portail national assainissement + volumes traités locaux;
AC_012;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Quantité totale de boues évacuées / produites en matière sèche;TMS/an;STEU / EPCI / Martinique;SOMME_EPCI;AUTO;SISPEA + portail assainissement;"D203.0 ; VP.208"
AC_013;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Production de boues par abonné;kg MS/abonné/an;EPCI;NON_ADDITIF;AUTO + calcul;SISPEA D203.0/VP.208 + VP.056;
AC_014;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Nombre d'abonnés au service d'assainissement collectif;abonnés;Service / EPCI / Martinique;SOMME_EPCI;AUTO;SISPEA;VP.056
AC_015;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Volume d'eaux usées facturé / traité présenté dans le rapport;m³/an;Service / Martinique;SOMME_EPCI;AUTO/SEMI-AUTO;"SISPEA pour volume facturé ; portail/RAD pour traité";VP.068 pour facturé
AC_016;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Part des abonnés AEP également abonnés à l'assainissement collectif;%;EPCI / Martinique;NON_ADDITIF;AUTO + calcul;SISPEA EP + AC;VP.056 EP et AC
AC_017;PUBLICATION;ASSAINISSEMENT_COLLECTIF;Part AC par commune;%;Commune;NON_ADDITIF;SEMI-AUTO + calcul;SISPEA + INSEE / données abonnés par commune;
ANC_001;PUBLICATION;ANC;Part des Martiniquais relevant de l'ANC;%;Martinique;NON_ADDITIF;AUTO/SEMI-AUTO + calcul;SISPEA ANC + INSEE / zonages;"VP.230 ; D301.0"
ANC_002;PUBLICATION;ANC;Nombre de personnes relevant de l'ANC;habitants;SPANC / Martinique;SOMME_EPCI;AUTO;SISPEA ANC;D301.0
ANC_003;PUBLICATION;ANC;Nombre estimé de dispositifs individuels ANC;installations;SPANC / Martinique;SOMME_EPCI;AUTO/SEMI-AUTO;SISPEA ANC + données SPANC;DC.306
ANC_004;PUBLICATION;ANC;Répartition AC / ANC par commune;%;Commune;NON_ADDITIF;SEMI-AUTO + calcul;SISPEA + INSEE + zonages;
ANC_005;PUBLICATION;ANC;Nombre de stations d'épuration en gestion privée;nb;Station privée / Martinique;NON_ADDITIF;MANUEL/SEMI-AUTO;ODE / DEAL / inventaire local;
ANC_006;PUBLICATION;ANC;Capacité cumulée des stations privées;EH;Station privée / Martinique;NON_ADDITIF;MANUEL/SEMI-AUTO;ODE / DEAL / inventaire local;
ANC_007;PUBLICATION;ANC;Part de capacité privée par rapport aux stations publiques;%;Martinique;NON_ADDITIF;AUTO après collecte locale;ANC_006 + capacité publique;
ANC_008;PUBLICATION;ANC;Part des stations privées de moins de 500 EH;%;Station privée / Martinique;NON_ADDITIF;SEMI-AUTO;Inventaire local;
ANC_009;PUBLICATION;ANC;Taux de stations privées ayant transmis des données de conformité;%;Station privée / Martinique;NON_ADDITIF;MANUEL/SEMI-AUTO;ODE / DEAL / collecte annuelle;
ANC_010;PUBLICATION;ANC;Nombre de contrôles sur le neuf;contrôles/an;SPANC / Martinique;SOMME_EPCI;AUTO/SEMI-AUTO;SISPEA ANC;DC.332 + DC.333 à étudier
ANC_011;PUBLICATION;ANC;Nombre de contrôles sur l'existant;contrôles/an;SPANC / Martinique;SOMME_EPCI;AUTO;SISPEA ANC;VP.334
ANC_012;PUBLICATION;ANC;Nombre de contrôles par SPANC/EPCI;contrôles/an;SPANC / EPCI;NON_ADDITIF;AUTO/SEMI-AUTO;SISPEA ANC;DC.332/DC.333/VP.334
ANC_013;PUBLICATION;ANC;Taux de conformité des dispositifs ANC;%;SPANC / EPCI / Martinique;NON_ADDITIF;Annuelle;"P301.3 ; VP.166 ; VP.267 ; VP.167";(VP.166 + VP.267) / VP.167 ×100 selon règle en vigueur
ANC_014;PUBLICATION;ANC;Coût moyen / fourchette d'une vidange ANC;€;Territoire;NON_ADDITIF;MANUEL / RÉFÉRENCE;Étude ODE à actualiser ponctuellement;
ANC_015;PUBLICATION;ANC;Nombre d'entreprises de vidange agréées;nb;Entreprise / Martinique;NON_ADDITIF;SEMI-AUTO;DEAL Martinique;
TAR_001;PUBLICATION;TARIFS;Prix moyen TTC du m³ d'eau potable pour une facture 120 m³;€/m³;Service / EPCI / Martinique;NON_ADDITIF;AUTO;SISPEA tarifs;D102.0
TAR_002;PUBLICATION;TARIFS;Montant annuel d'une facture type 120 m³ d'eau potable;€/an;Service / Martinique;NON_ADDITIF;AUTO + calcul;SISPEA tarifs;VP.177/178/179 + TVA
TAR_003;PUBLICATION;TARIFS;Montant mensuel équivalent d'une facture type 120 m³;€/mois;Martinique;NON_ADDITIF;AUTO + calcul;Calcul interne;
TAR_004;PUBLICATION;TARIFS;Décomposition de la facture EP : abonnement / consommation / redevance ODE / TVA-ODM;%;Martinique;NON_ADDITIF;AUTO + calcul;SISPEA tarifs + règles locales redevances;VP.177, VP.178, VP.190, VP.191, VP.179, VP.213, VP.214-216, VP.219
TAR_005;PUBLICATION;TARIFS;Prix moyen TTC du m³ EP + AC pour 120 m³;€/m³;Martinique;NON_ADDITIF;AUTO + calcul;SISPEA EP + AC tarifs;D102.0 + D204.0
TAR_006;PUBLICATION;TARIFS;Montant annuel facture type EP + AC 120 m³;€/an;Martinique;NON_ADDITIF;AUTO + calcul;SISPEA tarifs EP + AC;
TAR_007;PUBLICATION;TARIFS;Montant mensuel équivalent EP + AC;€/mois;Martinique;NON_ADDITIF;AUTO + calcul;Calcul interne;
TAR_008;PUBLICATION;TARIFS;Décomposition facture EP+AC : EP / AC / redevance ODE / TVA-ODM;%;Martinique;NON_ADDITIF;AUTO + calcul;SISPEA tarifs + règles locales redevances;Variables tarifaires EP et AC
POP_001;SUPPORT;DEMOGRAPHIE;Population municipale INSEE;hab;;SOMME_EPCI;;;
VAR_EP_VOL_PRELEVE_LOCAL;SUPPORT;EAU_POTABLE;Volume prélevé déclaré dans le RAD (contrôle de la BNPE);m³/an;;SOMME_EPCI;;;
VAR_EP_VOL_MIS_DISTRIBUTION;SUPPORT;EAU_POTABLE;Volume mis en distribution;m³/an;;NON_ADDITIF;;;
VAR_EP_VOL_COMPTABILISE;SUPPORT;EAU_POTABLE;Volume comptabilisé (hydraulique);m³/an;;NON_ADDITIF;;;
VAR_EP_VOL_FACTURE_CLIENTELE;SUPPORT;EAU_POTABLE;Volume facturé selon le tableau clientèle du RAD;m³/an;;NON_ADDITIF;;;
VAR_EP_VOL_FACTURE_HYDRAULIQUE;SUPPORT;EAU_POTABLE;Volume facturé selon le bilan hydraulique du RAD;m³/an;;NON_ADDITIF;;;
VAR_EP_VOL_VENDU_RPQS;SUPPORT;EAU_POTABLE;Volume vendu déclaré dans le RPQS / SISPEA;m³/an;;NON_ADDITIF;;;
VAR_AC_POP_DESSERVIE;SUPPORT;ASSAINISSEMENT_COLLECTIF;Population desservie par l'assainissement collectif;hab;;SOMME_EPCI;;;
VAR_AC_VOL_ASSUJETTI;SUPPORT;ASSAINISSEMENT_COLLECTIF;Volume assujetti à la redevance assainissement;m³/an;;NON_ADDITIF;;;
VAR_AC_VOL_TRAITE;SUPPORT;ASSAINISSEMENT_COLLECTIF;Volume traité en station;m³/an;;NON_ADDITIF;;;
VAR_AC_NB_STEU_EXPLOITANT;SUPPORT;ASSAINISSEMENT_COLLECTIF;Nombre de stations déclaré par l'exploitant (RAD);nb;;NON_ADDITIF;;;
VAR_AC_BOUES_PORTAIL;SUPPORT;ASSAINISSEMENT_COLLECTIF;Boues déclarées au portail assainissement (contrôle de AC_012);tMS/an;;SOMME_EPCI;;;
VAR_ANC_CTRL_CONCEPTION;SUPPORT;ANC;Contrôles de conception ANC;contrôles/an;;SOMME_EPCI;;;
VAR_ANC_CTRL_EXECUTION;SUPPORT;ANC;Contrôles de bonne exécution ANC;contrôles/an;;SOMME_EPCI;;;
VAR_ANC_DIAG_VENTE;SUPPORT;ANC;Diagnostics ANC réalisés lors de ventes;contrôles/an;;SOMME_EPCI;;;
