indicator_id;perimeter_id;statut_attente;annee_debut;annee_fin;note
EP_021;CACEM_EPCI;EXPECTED;2022;;Régie ODYSSI.
EP_021;CAP_NORD_DSP_2020_2024;EXPECTED;2022;2024;Contrat SME CAP Nord (16 communes + secteurs Robert CN / Trinité CN).
EP_021;CAP_NORD_SAUR_2025_2027;EXPECTED;2025;;Contrat SAUR à partir de 2025 : à confirmer lors de la production 2025.
EP_021;EX_SICSM_DSP_2015_2027;EXPECTED;2022;2027;Publié « CAESM (+ Robert/Trinité) » : non ventilable entre CAESM et Robert-Trinité.
EP_021;FRANCE;REFERENCE_EXTERNE;2022;;
EP_021;MARTINIQUE;EXPECTED;2022;;
RES_001;FRANCE;REFERENCE_EXTERNE;2022;;
RES_001;MARTINIQUE;EXPECTED;2022;;
RES_002;FRANCE;REFERENCE_EXTERNE;2022;;
RES_002;MARTINIQUE;EXPECTED;2022;;
RES_003;FRANCE;REFERENCE_EXTERNE;2022;;
RES_003;MARTINIQUE;EXPECTED;2022;;
RES_004;MARTINIQUE;EXPECTED;2022;;
RES_005;MARTINIQUE;EXPECTED;2022;;
RES_006;MARTINIQUE;EXPECTED;2022;;
RES_007;MARTINIQUE;EXPECTED;2022;;
RES_008;MARTINIQUE;EXPECTED;2022;;
RES_009;MARTINIQUE;EXPECTED;2022;;
RES_010;MARTINIQUE;EXPECTED;2022;;
RES_011;MARTINIQUE;EXPECTED;2022;;
RES_012;MARTINIQUE;EXPECTED;2022;;
RES_013;MARTINIQUE;EXPECTED;2022;;
RES_014;MARTINIQUE;EXPECTED;2022;;
RES_015;MARTINIQUE;EXPECTED;2022;;
RES_016;MARTINIQUE;EXPECTED;2022;;
RES_017;MARTINIQUE;EXPECTED;2022;;
RES_018;MARTINIQUE;EXPECTED;2022;;
RES_019;MARTINIQUE;EXPECTED;2022;;Non chiffré dans la validation 2022 : attente par défaut.
TAR_001;FRANCE;REFERENCE_EXTERNE;2022;;
TAR_001;MARTINIQUE;EXPECTED;2022;;
TAR_002;MARTINIQUE;EXPECTED;2022;;
TAR_003;MARTINIQUE;EXPECTED;2022;;
TAR_004;MARTINIQUE;EXPECTED;2022;;Déclinaison publiée : Martinique - abonnement.
TAR_005;FRANCE;REFERENCE_EXTERNE;2022;;
TAR_005;MARTINIQUE;EXPECTED;2022;;
TAR_006;MARTINIQUE;EXPECTED;2022;;
TAR_007;MARTINIQUE;EXPECTED;2022;;
TAR_008;MARTINIQUE;EXPECTED;2022;;Déclinaison publiée : Martinique - eau potable.
