indicator_id;territoire;perimeter_id;value;unit;source_file;coverage_status;quality_status;record_role;definition;note
AC_008;Martinique;Martinique;13.903838;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_VALIDATE;DIAGNOSTIC;Part de capacité des STEU urbaines >200 EH associées à une agglomération globalement conforme.;Valider la définition de conformité éditoriale du millésime avant publication.
AC_009;Martinique;Martinique;9.859155;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_VALIDATE;DIAGNOSTIC;Part des STEU urbaines >200 EH associées à une agglomération globalement conforme.;Valider la définition de conformité éditoriale du millésime avant publication.
AC_012_PORTAL;Martinique;Martinique;1992.46;tMS/an;export-portail_assainissement_2023(1).csv;COMPLETE;PORTAL_CONTROL;VALIDATION;Somme de 'Prod boues sans réactif (tMS/an)' des STEU urbaines.;Contrôle secondaire : le reporting privilégie les RAD/RPQS locaux pour AC_012.
ANC_005;CACEM;CACEM;32;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU de nature 'Privé' en service dans l'export du portail.;
ANC_006;CACEM;CACEM;12470.0;EH;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Somme des capacités nominales des STEU de nature 'Privé'.;
ANC_008;CACEM;CACEM;81.25;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part des STEU privées dont la capacité nominale est strictement inférieure à 500 EH.;
ANC_009_CANDIDATE;CACEM;CACEM;34.375;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_CONFIRM;DIAGNOSTIC;Part des STEU privées disposant d'un statut de conformité globale réglementaire de performance Oui/Non.;Ne pas publier comme ANC_009 avant validation que ce statut équivaut à 'données de conformité transmises'.
AC_003;CACEM;CACEM;33;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU de nature 'Urbain' en service.;
AC_004;CACEM;CACEM;17;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU urbaines de capacité nominale strictement supérieure à 200 EH.;
AC_005;CACEM;CACEM;178210.0;EH;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Somme des capacités nominales des STEU urbaines > 200 EH.;
AC_006;CACEM;CACEM;84.170361;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part de capacité nominale portée par les 4 plus grosses STEU urbaines >200 EH.;
AC_007;CACEM;CACEM;100.0;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part de capacité nominale portée par les 42 plus petites STEU urbaines >200 EH.;
AC_008;CACEM;CACEM;19.639751;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_VALIDATE;DIAGNOSTIC;Part de capacité des STEU urbaines >200 EH associées à une agglomération globalement conforme.;Valider la définition de conformité éditoriale du millésime avant publication.
AC_009;CACEM;CACEM;5.882353;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_VALIDATE;DIAGNOSTIC;Part des STEU urbaines >200 EH associées à une agglomération globalement conforme.;Valider la définition de conformité éditoriale du millésime avant publication.
AC_012_PORTAL;CACEM;CACEM;730.15;tMS/an;export-portail_assainissement_2023(1).csv;COMPLETE;PORTAL_CONTROL;VALIDATION;Somme de 'Prod boues sans réactif (tMS/an)' des STEU urbaines.;Contrôle secondaire : le reporting privilégie les RAD/RPQS locaux pour AC_012.
ANC_005;CAESM;CAESM;20;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU de nature 'Privé' en service dans l'export du portail.;
ANC_006;CAESM;CAESM;6943.0;EH;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Somme des capacités nominales des STEU de nature 'Privé'.;
ANC_008;CAESM;CAESM;80.0;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part des STEU privées dont la capacité nominale est strictement inférieure à 500 EH.;
ANC_009_CANDIDATE;CAESM;CAESM;45.0;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_CONFIRM;DIAGNOSTIC;Part des STEU privées disposant d'un statut de conformité globale réglementaire de performance Oui/Non.;Ne pas publier comme ANC_009 avant validation que ce statut équivaut à 'données de conformité transmises'.
AC_003;CAESM;CAESM;29;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU de nature 'Urbain' en service.;
AC_004;CAESM;CAESM;25;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU urbaines de capacité nominale strictement supérieure à 200 EH.;
AC_005;CAESM;CAESM;100971.0;EH;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Somme des capacités nominales des STEU urbaines > 200 EH.;
AC_006;CAESM;CAESM;52.247675;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part de capacité nominale portée par les 4 plus grosses STEU urbaines >200 EH.;
AC_007;CAESM;CAESM;100.0;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part de capacité nominale portée par les 42 plus petites STEU urbaines >200 EH.;
AC_008;CAESM;CAESM;12.874984;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_VALIDATE;DIAGNOSTIC;Part de capacité des STEU urbaines >200 EH associées à une agglomération globalement conforme.;Valider la définition de conformité éditoriale du millésime avant publication.
AC_009;CAESM;CAESM;12.0;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_VALIDATE;DIAGNOSTIC;Part des STEU urbaines >200 EH associées à une agglomération globalement conforme.;Valider la définition de conformité éditoriale du millésime avant publication.
AC_012_PORTAL;CAESM;CAESM;721.96;tMS/an;export-portail_assainissement_2023(1).csv;COMPLETE;PORTAL_CONTROL;VALIDATION;Somme de 'Prod boues sans réactif (tMS/an)' des STEU urbaines.;Contrôle secondaire : le reporting privilégie les RAD/RPQS locaux pour AC_012.
ANC_005;CAP_NORD;CAP_NORD;24;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU de nature 'Privé' en service dans l'export du portail.;
ANC_006;CAP_NORD;CAP_NORD;6464.0;EH;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Somme des capacités nominales des STEU de nature 'Privé'.;
ANC_008;CAP_NORD;CAP_NORD;87.5;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part des STEU privées dont la capacité nominale est strictement inférieure à 500 EH.;
ANC_009_CANDIDATE;CAP_NORD;CAP_NORD;45.833333;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_CONFIRM;DIAGNOSTIC;Part des STEU privées disposant d'un statut de conformité globale réglementaire de performance Oui/Non.;Ne pas publier comme ANC_009 avant validation que ce statut équivaut à 'données de conformité transmises'.
AC_003;CAP_NORD;CAP_NORD;49;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU de nature 'Urbain' en service.;
AC_004;CAP_NORD;CAP_NORD;29;nb;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Nombre de STEU urbaines de capacité nominale strictement supérieure à 200 EH.;
AC_005;CAP_NORD;CAP_NORD;82230.0;EH;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Somme des capacités nominales des STEU urbaines > 200 EH.;
AC_006;CAP_NORD;CAP_NORD;52.28019;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part de capacité nominale portée par les 4 plus grosses STEU urbaines >200 EH.;
AC_007;CAP_NORD;CAP_NORD;100.0;%;export-portail_assainissement_2023(1).csv;COMPLETE;OK;PRODUCTION;Part de capacité nominale portée par les 42 plus petites STEU urbaines >200 EH.;
AC_008;CAP_NORD;CAP_NORD;2.736228;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_VALIDATE;DIAGNOSTIC;Part de capacité des STEU urbaines >200 EH associées à une agglomération globalement conforme.;Valider la définition de conformité éditoriale du millésime avant publication.
AC_009;CAP_NORD;CAP_NORD;10.344828;%;export-portail_assainissement_2023(1).csv;COMPLETE;DEFINITION_TO_VALIDATE;DIAGNOSTIC;Part des STEU urbaines >200 EH associées à une agglomération globalement conforme.;Valider la définition de conformité éditoriale du millésime avant publication.
AC_012_PORTAL;CAP_NORD;CAP_NORD;540.35;tMS/an;export-portail_assainissement_2023(1).csv;COMPLETE;PORTAL_CONTROL;VALIDATION;Somme de 'Prod boues sans réactif (tMS/an)' des STEU urbaines.;Contrôle secondaire : le reporting privilégie les RAD/RPQS locaux pour AC_012.
